run_id,implementation,platform,security,benchmark,duration_s,total_cams,throughput_cams_s,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us,sign_latency_mean_us
13,rust-cv2x,mk6,on,security-sign,60,34332,572.2,1746.3,38.53,1731.38,1835.14,1875.65,1713.26,1964.03,1746.3
14,rust-cv2x,mk6,on,security-sign,60,34316,571.9,1747.14,40.53,1731.51,1839.64,1887.52,1713.51,2126.92,1747.14
15,rust-cv2x,mk6,on,security-sign,60.001,34344,572.4,1745.73,37.86,1731.63,1834.14,1871.65,1713.26,1956.78,1745.73
16,rust-cv2x,mk6,on,security-sign,60,34328,572.1,1746.5,39.11,1731.13,1837.39,1877.27,1713.38,2036.28,1746.5
17,rust-cv2x,mk6,on,security-sign,60.001,34305,571.7,1747.71,41.94,1731.13,1843.02,1895.02,1712.88,2124.29,1747.71
18,rust-cv2x,mk6,on,security-sign,60,34336,572.3,1746.09,38.69,1732.01,1836.39,1876.27,1713.76,2662.58,1746.09
19,rust-cv2x,mk6,on,security-sign,60.001,34319,572,1746.95,38.45,1732.88,1837.39,1875.15,1713.88,1956.53,1746.95
20,rust-cv2x,mk6,on,security-sign,60.002,34278,571.3,1749.09,44.35,1731.38,1845.39,1907.65,1713.13,2485.32,1749.09
21,rust-cv2x,mk6,on,security-sign,60.001,34326,572.1,1746.61,39.22,1731.38,1835.89,1882.15,1713.51,2123.79,1746.61
22,rust-cv2x,mk6,on,security-sign,60.002,34333,572.2,1746.31,38.97,1730.76,1836.64,1878.02,1713.13,1956.9,1746.31
23,rust-cv2x,mk6,on,security-sign,60,34276,571.3,1749.17,44.5,1731.88,1845.27,1905.77,1714.13,3317.51,1749.17
24,rust-cv2x,mk6,on,security-sign,60.002,34306,571.7,1747.65,39.94,1732.38,1838.77,1880.77,1713.88,2386.19,1747.65
25,rust-cv2x,mk6,on,security-sign,60.001,34278,571.3,1749.08,44.78,1731.51,1847.77,1911.9,1712.76,2194.42,1749.08
26,rust-cv2x,mk6,on,security-sign,60,34335,572.2,1746.18,38.56,1731.26,1836.39,1875.27,1712.88,1957.53,1746.18
27,rust-cv2x,mk6,on,security-sign,60,34305,571.7,1747.69,41.62,1731.51,1840.89,1893.4,1713.13,2211.3,1747.69
28,rust-cv2x,mk6,on,security-sign,60.001,34324,572.1,1746.77,39.53,1731.63,1838.14,1882.9,1712.01,2177.55,1746.77
29,rust-cv2x,mk6,on,security-sign,60.002,34338,572.3,1746.07,38.2,1731.39,1835.77,1872.77,1712.01,1969.9,1746.07
30,rust-cv2x,mk6,on,security-sign,60.001,34327,572.1,1746.61,39.52,1731.14,1837.39,1885.02,1713.38,2111.29,1746.61
1,cpython_3.13,rpi5,off,rx,60.013,717576,11957,33.18,0.59,33.13,33.83,35.54,32.05,97.54,0
2,cpython_3.13,rpi5,off,rx,60.012,713431,11888.1,33.58,0.63,33.54,34.22,35.95,32.35,104.59,0
3,cpython_3.13,rpi5,off,rx,60.006,711008,11848.9,33.57,0.61,33.54,34.24,35.76,32.28,102.2,0
4,cpython_3.13,rpi5,off,rx,60.009,716363,11937.6,33.4,0.62,33.35,34.07,35.67,32.13,94.89,0
5,cpython_3.13,rpi5,off,rx,60.012,713495,11889.1,33.6,0.64,33.55,34.31,35.96,32.39,109.85,0
6,cpython_3.13,rpi5,off,rx,60.031,712652,11871.4,33.49,0.66,33.44,34.19,35.87,32.22,128.06,0
7,cpython_3.13,rpi5,off,rx,60.031,715057,11911.5,33.49,0.61,33.45,34.15,35.74,32.22,99.28,0
8,cpython_3.13,rpi5,off,rx,60.009,705905,11763.2,33.82,0.62,33.78,34.52,36.09,32.5,99.67,0
9,cpython_3.13,rpi5,off,rx,60.004,709652,11826.8,33.56,0.63,33.5,34.28,35.85,32.41,112.11,0
10,cpython_3.13,rpi5,off,rx,60.002,711158,11852.3,33.4,0.61,33.35,34.09,35.7,32.15,104.31,0
11,cpython_3.13,rpi5,off,rx,60.011,710572,11840.7,33.41,0.65,33.39,34.09,35.69,32,108.13,0
12,cpython_3.13,rpi5,off,rx,60.039,709785,11822,33.63,0.63,33.59,34.37,36.02,32.3,104.7,0
13,cpython_3.13,rpi5,off,rx,60.034,714295,11898.1,33.59,0.65,33.54,34.3,35.81,32.33,107.94,0
14,cpython_3.13,rpi5,off,rx,60.02,710868,11843.8,33.32,0.62,33.28,34.04,35.52,32.11,105.96,0
15,cpython_3.13,rpi5,off,rx,60.078,711984,11850.9,33.32,0.65,33.28,34.04,35.57,31.98,105,0
16,cpython_3.13,rpi5,off,rx,60.005,713055,11883.3,33.5,0.61,33.45,34.17,35.94,32.28,104.44,0
17,cpython_3.13,rpi5,off,rx,60.004,711331,11854.7,33.42,0.61,33.37,34.07,35.63,32.19,110,0
18,cpython_3.13,rpi5,off,rx,60,712140,11869,33.17,0.65,33.13,33.85,35.48,31.96,109.74,0
19,cpython_3.13,rpi5,off,rx,60.038,711753,11855,33.63,0.68,33.57,34.46,35.87,32.26,123.15,0
20,cpython_3.13,rpi5,off,rx,60.004,713179,11885.5,33.38,0.64,33.33,34.04,35.59,32.11,107.46,0
21,cpython_3.13,rpi5,off,rx,60.006,708121,11800.8,33.59,0.61,33.56,34.26,35.83,32.2,110.65,0
22,cpython_3.13,rpi5,off,rx,60.01,711875,11862.7,33.29,0.6,33.24,33.95,35.52,32.06,100.76,0
23,cpython_3.13,rpi5,off,rx,60.001,711104,11851.6,33.37,0.63,33.33,34.06,35.7,32.15,110.35,0
24,cpython_3.13,rpi5,off,rx,60,711220,11853.7,33.35,0.63,33.31,34.07,35.56,32.07,105.76,0
25,cpython_3.13,rpi5,off,rx,60.002,715372,11922.5,33.25,0.62,33.2,33.94,35.46,31.85,94.5,0
26,cpython_3.13,rpi5,off,rx,60.004,710111,11834.3,33.47,0.61,33.43,34.13,35.81,32.24,101.85,0
27,cpython_3.13,rpi5,off,rx,60.033,713272,11881.3,33.18,0.6,33.13,33.85,35.46,31.94,106.93,0
28,cpython_3.13,rpi5,off,rx,60.007,709265,11819.8,33.41,0.61,33.35,34.09,35.59,32.17,99.15,0
29,cpython_3.13,rpi5,off,rx,60.013,715252,11918.3,33.35,0.62,33.31,34,35.61,32.04,111.39,0
30,cpython_3.13,rpi5,off,rx,60,709738,11829,33.41,0.64,33.37,34.09,35.81,32.15,120.8,0
1,rust,laptop,off,tx,60,2648521,44142,22.58,236.91,20.56,26.5,37.3,17.99,52134.93,0
2,rust,laptop,off,tx,60,2684945,44749.1,22.27,235.03,20.53,24.82,32.02,17.97,52618.49,0
3,rust,laptop,off,tx,60,2660061,44334.3,22.48,236.14,20.66,25.4,34,18.07,52666.76,0
4,rust,laptop,off,tx,60,2699157,44985.9,22.15,234.46,20.42,24.29,32.23,18.03,52552.77,0
5,rust,laptop,off,tx,60,2689851,44830.8,22.21,232.77,20.44,24.98,33.05,18.09,50869.68,0
6,rust,laptop,off,tx,60,2696828,44947.1,22.17,234.56,20.39,24.77,32.82,18.16,53754.98,0
7,rust,laptop,off,tx,60,2702945,45049.1,22.12,234.33,20.37,24.63,32.74,17.9,51788.32,0
8,rust,laptop,off,tx,60,2680486,44674.8,22.31,236.09,20.58,24.62,31.39,18.3,51265.97,0
9,rust,laptop,off,tx,60,2690054,44834.2,22.23,234.6,20.46,24.64,32.06,17.89,53557.77,0
10,rust,laptop,off,tx,60,2703996,45066.6,22.11,234.28,20.34,24.55,32.67,18.17,53783.25,0
11,rust,laptop,off,tx,60,2695301,44921.7,22.18,234.37,20.34,25.49,33.7,17.79,52746.34,0
12,rust,laptop,off,tx,60,2681015,44683.6,22.3,234.96,20.55,24.83,32.33,18.06,53563.49,0
13,rust,laptop,off,tx,60,2678057,44634.3,22.33,235,20.58,25.1,32.52,17.96,52590.68,0
14,rust,laptop,off,tx,60,2689314,44821.9,22.23,234.68,20.49,24.71,31.84,18.18,53936.42,0
15,rust,laptop,off,tx,60,2690970,44849.5,22.22,234.52,20.42,24.9,33.33,18.23,52382.27,0
16,rust,laptop,off,tx,60,2677155,44619.2,22.34,235.08,20.62,24.63,31.99,17.98,52423.93,0
17,rust,laptop,off,tx,60,2680617,44676.9,22.31,235.18,20.44,25.01,33.66,18.09,52474.56,0
18,rust,laptop,off,tx,60,2660637,44343.9,22.44,231.81,20.67,25.6,33.4,18.22,52579.11,0
19,rust,laptop,off,tx,60,2668041,44467.3,22.41,235.52,20.52,26.05,33.93,18.21,50321.42,0
20,rust,laptop,off,tx,60,2661137,44352.3,22.47,235.92,20.61,25.84,33.45,18.28,50598.88,0
21,rust,laptop,off,tx,60,2710024,45167.1,22.05,231.83,20.34,24.27,31.88,17.81,53809.72,0
22,rust,laptop,off,tx,60,2688494,44808.2,22.24,234.56,20.54,24.45,31.28,18.23,53948.77,0
23,rust,laptop,off,tx,60,2671870,44531.2,22.38,235.6,20.46,26.05,34.31,17.92,53873.8,0
24,rust,laptop,off,tx,60,2694663,44911,22.17,232.54,20.41,24.63,32.71,17.95,50664.93,0
25,rust,laptop,off,tx,60,2692758,44879.3,22.21,234.6,20.45,24.75,32.74,18.21,50473.99,0
26,rust,laptop,off,tx,60,2694836,44913.9,22.19,234.62,20.45,24.61,32.21,17.98,52181.3,0
27,rust,laptop,off,tx,60,2670666,44511.1,22.39,235.55,20.5,25.73,34.56,17.96,50420.59,0
28,rust,laptop,off,tx,60,2692683,44878,22.21,234.69,20.44,24.7,32.27,18.06,50337.36,0
29,rust,laptop,off,tx,60,2673841,44564,22.36,235.38,20.63,24.63,31.86,18.36,54098.1,0
30,rust,laptop,off,tx,60,2684815,44746.9,22.27,235.48,20.54,24.56,31.49,18.08,50998.35,0
1,rust,laptop,on,tx,60,296698,4945,202.11,716.16,182.94,215.89,480.73,85.11,51179.42,0
2,rust,laptop,on,tx,60,297075,4951.2,201.85,719.72,182.91,217.37,472.2,20.71,52811.11,0
3,rust,laptop,on,tx,60,296063,4934.4,202.54,717.92,182.9,218.63,501.1,48.02,54215.31,0
4,rust,laptop,on,tx,60,298593,4976.5,200.82,713.92,182.93,209.53,474.03,66.69,54186.75,0
5,rust,laptop,on,tx,60,297218,4953.6,201.75,724.16,182.91,213.22,486.37,66.48,52912.92,0
6,rust,laptop,on,tx,60,297527,4958.8,201.55,728.07,182.91,212.48,472.11,27.34,52851.72,0
7,rust,laptop,on,tx,60,297313,4955.2,201.69,728.3,182.9,212.16,489.23,85.56,52809.94,0
8,rust,laptop,on,tx,60,298231,4970.5,201.07,722.94,182.89,211.8,471.57,74.06,53771.96,0
