implementation,platform,security,benchmark,n,throughput_mean,throughput_std,throughput_ci95_low,throughput_ci95_high,cv_pct,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us
pypy_3.11,rpi5,on,security-verify,30,121.63333333333334,0.7429360827073248,121.35591644083141,121.91075022583527,0.6107997391400314,8205.825,1212.1650000000002,8123.289666666667,8210.889,8664.883666666668,7911.56,50359.7
pypy_3.11,rpi5,on,tx,30,1051.72,5.999160860860697,1049.4798765191556,1053.9601234808445,0.5704142605313864,950.1203333333334,427.36899999999997,926.3596666666668,1039.182,1129.3456666666668,739.93,26471.13
rust,laptop,off,codec-decode,30,347420.7466666667,3244.272233754845,346209.31550526875,348632.17782806465,0.9338164933677855,2.819666666666666,84.03366666666665,2.5849999999999995,2.6956666666666664,5.719333333333333,2.44,53666.36
rust,laptop,off,codec-encode,30,99503.29333333335,573.3659786482492,99289.19495829778,99717.39170836892,0.5762281422459945,9.988,158.22933333333327,9.141666666666667,9.839333333333334,20.51366666666667,8.67,53977.54
rust,laptop,off,rx,30,19597.260000000002,309.5458314904333,19481.673686913586,19712.84631308642,1.579536279512714,3.117666666666666,1.0946666666666667,3.033333333333333,3.4196666666666666,5.673,2.64,1765.01
rust,laptop,off,tx,30,44729.84,243.84451603429534,44638.786961297985,44820.89303870201,0.5451495378349115,22.277666666666672,234.70199999999997,20.49166666666667,24.991333333333333,32.858000000000004,17.79,54098.1
rust,laptop,on,rx,30,3143.863333333333,28.80833791341208,3133.1061231666636,3154.620543500002,0.9163355673882797,359.9136666666666,186.971,352.03933333333333,392.05833333333334,454.11500000000007,318.47,40287.04
rust,laptop,on,security-sign,30,5025.5233333333335,14.074155412482595,5020.267957332625,5030.778709334042,0.28005352833865915,198.91400000000002,708.5583333333333,182.903,189.51899999999998,404.8126666666667,181.14,54160.98
rust,laptop,on,security-verify,30,3257.1800000000003,10.219602529554122,3253.363937700236,3260.9960622997646,0.3137561488635605,306.9403333333333,16.861666666666668,304.93266666666665,312.2386666666667,348.4676666666667,301.51,18381.02
rust,laptop,on,tx,30,4949.61,13.201654807454014,4944.680421079534,4954.539578920465,0.26672111151088707,201.913,720.8346666666664,182.91866666666664,216.16299999999995,488.8146666666667,20.71,93276.34
